name,org_no,website,city,county,segment
A-Dental AB -Tdl Anna Gawska  Östermalm,,https://adental.se,Östermalm,,tandvard
Abbas Dental Klinik Helsingborg,,https://abbasdental.se,Helsingborg,,tandvard
Agea Dental Näsby Park centrum  Täby,,https://ageadental.se,Täby,,tandvard
Åhus Sundhtandvård,,https://ahussundhtandvard.se,Åhus,Skåne Län,tandvard
Akuttandvården Tensta  Spånga,,https://atvtensta.eu,Spånga,,tandvard
Alfa Tandvårdskliniken,,https://alfatandvard.se,Hässleholm,Skåne Län,tandvard
Allmäntandläkare Isabella Dohlwitz  Danderyd,,https://stocksundstandlakarna.se,Danderyd,,tandvard
Alpha Dental,,https://alphadental.se,Sundbyberg,Stockholms Län,tandvard
Alviks Strand Tandläkarna  Bromma,,https://alviksstrandtandlakarna.se,Bromma,,tandvard
AN Tandvård  Österbybruk,,https://antandvard.se,Österbybruk,,tandvard
Anna Ahlberg Tandläkare,,https://annaahlberg.se,Stockholm,,tandvard
Äppelvikens Tandvård,,https://appelvikenstandvard.se,Bromma,Stockholms Län,tandvard
Aqua Dental  Sollentuna Tandreglering  Sollentuna,,https://aquadental.se,Sollentuna,,tandvard
Arbets- och miljödermatologisk mottagning Sahlgrenska  Göteborg,,https://sahlgrenska.se,Göteborg,,hud
Avidental Tandläkarklinik,,https://avidental.se,Tumba,,tandvard
Axelsbergstandläkarna,,https://axelsbergstandlakarna.se,Hägersten,Stockholms Län,tandvard
Barkarbystad Dental,,https://barkarbystaddental.se,Järfälla,Stockholms Län,tandvard
Bene Tandvård  Östermalm,,https://benettandvard.se,Östermalm,,tandvard
Bengt Lewin Specialisttandvård,,https://bengtlewin.se,Kristianstad,,tandvard
Bergshamratandläkarna Maria Mustonen  Solna,,https://bergshamratandlakarna.se,Solna,,tandvard
Bio Oral Dental,,https://biooraldental.se,Solna,Stockholms Län,tandvard
Bjuvs Tandvårdsteam AB  Bjuv,556680-6351,https://bjuvstandvardsteam.se,Bjuv,,tandvard
Borås Hudläkarmottagning,,https://borashudlakarmottagning.nu,Borås,Västra Götalands län,hud
Borås Hudläkarmottagning,,https://diagnostisktcentrumhud.se,Borås,Västra Götalands Län,hud
Boråstandläkaren  Borås,,https://borastandlakaren.se,Borås,,tandvard
Brotandläkarna Bro Centrum,,https://brotandlakarna.se,Bro,Stockholms Län,tandvard
Brunnsbos Tandklinik,,https://brunnsbostandklinik.se,Hisings Backa,,tandvard
Capio Tandvård Sjöstaden Ystad  Ystad,556711-0621,https://novakliniken.se,Ystad,,tandvard
Centrum för Ortodonti/Pedodonti Linköping  Folktandvården,,https://folktandvardenostergotland.se,Linköping,,tandvard
Centrum Tandläkarklinik,,https://ctkl.se,Jönköping,,tandvard
Centrumtandläkarna,,https://centrumtandlakarna.se,Sollentuna,,tandvard
Charlottenbergs Tandklinik  Charlottenberg,,https://charlottenbergs-tandklinik.se,Charlottenberg,,tandvard
City Dental,,https://citydental.se,Stockholm,Stockholms Län,tandvard
City Tandvård  Uppsala,,https://citytandvard.se,Uppsala,,tandvard
Citytandvården  Kristianstad,559177-7791,https://citytandvarden.com,Kristianstad,,tandvard
D-dental,,https://d-dentalab.com,Tyresö,,tandvard
Dagmar Dental,,https://dagmardental.se,Rättvik,,tandvard
Danderydstandläkarna  Danderyd,,https://danderydstandlakarna.se,Danderyd,,tandvard
Dental Home Jönköping,,https://dentalhome.se,Jönköping,,tandvard
Dental Human i Degeberga,,https://dentalhumandegeberga.se,Degeberga,,tandvard
Dental Turism,,https://dentalturism.se,Huddinge,,tandvard
Dentalisterna ,,https://dentalisterna.se,Stockholm,Stockholms Län,tandvard
Dentalkliniken Johannesörten,,https://johannesorten.se,Örebro,,tandvard
Dentalstudion,,https://dentalstudion.se,Landskrona,,tandvard
Dentalteamet Eva Jonsson,,https://dentalteamet.se,Stockholm,Stockholms Län,tandvard
DENTS Tandteam Tandläkare Björn Palm  Malmö,,https://dents.se,Malmö,,tandvard
Diamond Smile Dental,,https://dsdl.se,Linköping,,tandvard
Din tandläkare i Sala,,https://din-tandlakare.se,Sala,,tandvard
Din Tandläkare i Solna ,,https://dintandlakareisolna.se,Solna,Stockholms Län,tandvard
Distriktstandvården Artillerigatan,,https://distriktstandvarden.se,Stockholm,,tandvard
Distriktstandvården Kvillebäcken,,https://munhalsa.com,Göteborg,,tandvard
Distriktstandvården Partille  Partille,,https://distriktstandvården.se,Partille,,tandvard
Diva Tandklinik,,https://divatandklinik.se,Västra Frölunda,Västra Götalands Län,tandvard
Dr. Dental,,https://drdental.se,Stockholm,Stockholms Län,tandvard
Dr. Obaidi Tandvård Kungsgatan,,https://drobaidi.se,Eskilstuna,,tandvard
Elerin Lindvall Specialisttandläkare Endodonti,,https://specialisttandvard.se,Sollentuna,,tandvard
Eliva Dental i Stockholm,,https://muntra.com,Stockholm,,tandvard
Emmabodatandläkarna  Emmaboda,,https://emmabodatandlakarna.se,Emmaboda,,tandvard
Empire Dental,,https://empiredental.se,Södertälje,,tandvard
Endodental,,https://endodental.se,Stockholm,,tandvard
Essinge tandvård - tandläkare Malin Sjöstedt  Kungsholmen,,https://essingetdv.se,Kungsholmen,,tandvard
Estetik & Dental,,https://estetikdental.se,Solna,Stockholms Län,tandvard
Familjetandläkaren i Blekinge,,https://xn--familjetandlkaren-1qb.se,Karlskrona,,tandvard
Familjetandvård i Bohuslän  Hunnebostrand,,https://familjetandvard.nu,Hunnebostrand,,tandvard
Fjäråstandläkarn Lindskogs Tandland AB  Kungsbacka,556402-1912,https://fjarastandlakarn.se,Kungsbacka,,tandvard
Folktandvården Åkersberga,,https://folktandvardenstockholm.se,Åkersberga,Stockholms Län,tandvard
Folktandvården Västmanland AB  Inom alla kommuner i Västmanland,556766-5574,https://regionvastmanland.se,Inom alla kommuner i Västmanland,,tandvard
Fredsgatans Tandvård  Göteborg,,https://fredsgatanstandvard.se,Göteborg,,tandvard
Freij & Freij Tandvård,,https://freijtandvard.se,Skurup,,tandvard
Frisktandvård Support  Uppsala,,https://folktandvardenuppsala.se,Uppsala,,tandvard
Fristadstandläkarna  Eskilstuna,,https://fristadstandlakarna.se,Eskilstuna,,tandvard
Fruängens Familjetandvård  Hägersten/Liljeholmen,,https://fruangenstandvard.se,Hägersten/Liljeholmen,,tandvard
Galleriatandläkarna  Kista,,https://galleriatandlakarna.se,Kista,,tandvard
Gamla Staden Tandvård,,https://gamlastadentandvard.se,Malmö,,tandvard
Gamla Stans Tandklinik  Västerås,,https://gamlastanstandklinik.se,Västerås,,tandvard
Global Tandvård,,https://globaltandvard.se,Vällingby,Stockholms Län,tandvard
Globentandläkarna,,https://globentandlakarna.com,Johanneshov,,tandvard
GloriDent Tandläkarklinik,,https://glorident.se,Järfälla,,tandvard
Göta Tandvård  Göteborg,,https://gotatandvard.se,Göteborg,,tandvard
Götaplatsens Tandvård  Göteborg,,https://gotaplatsenstandvard.se,Göteborg,,tandvard
Gränbystadens Tandklinik AB  Uppsala,,https://granbytandklinik.se,Uppsala,Uppsala Län,tandvard
Gränna Privattandläkare  Gränna,,https://gapab.se,Gränna,,tandvard
